index,cover,digital_message,analog_message,digital_fsk,analog_fm,digital_ask,analog_am,digital_psk,analog_pm
19,0.9238795325,0,0.6425660252,-0.6343932842,0.7786448714,0.3233578364,1.2207063320,0.9238795325,0.8158254023
20,1.0000000000,0,0.6651756898,-0.3826834324,0.4209575242,0.3500000000,1.3325878449,1.0000000000,0.5020268765
21,0.9238795325,0,0.6861828880,-0.0980171403,-0.0255614717,0.3233578364,1.2408546954,0.9238795325,0.1000758814
22,0.7071067812,0,0.7055370115,0.1950903220,-0.4684444494,0.2474873734,0.9565517838,0.7071067812,-0.3172770326
23,0.3826834324,0,0.7231914345,0.4713967368,-0.8141289117,0.1339392013,0.5210601226,0.3826834324,-0.6767118811
24,0.0000000000,0,0.7391036260,0.7071067812,-0.9881180623,0.0000000000,0.0000000000,0.0000000000,-0.9171945236
25,-0.3826834324,0,0.7532352521,0.8819212643,-0.9516173196,-0.1339392013,-0.5268087582,-0.3826834324,-0.9999870871
26,-0.7071067812,0,0.7655522686,0.9807852804,-0.7107754213,-0.2474873734,-0.9777703814,-0.7071067812,-0.9142560470
27,-0.9238795325,0,0.7760250026,0.9951847267,-0.3161938449,-0.3233578364,-1.2823563408,-0.9238795325,-0.6776175554
28,-1.0000000000,0,0.7846282243,0.9238795325,0.1474751079,-0.3500000000,-1.3923141122,-1.0000000000,-0.3318888278
29,-0.9238795325,0,0.7913412080,0.7730104534,0.5797353097,-0.3233578364,-1.2894315052,-0.9238795325,0.0648929860
30,-0.7071067812,0,0.7961477813,0.5555702330,0.8862865210,-0.2474873734,-0.9885875287,-0.7071067812,0.4485906953
31,-0.3826834324,0,0.7990363650,0.2902846773,0.9999460502,-0.1339392013,-0.5355724217,-0.3826834324,0.7594220420
32,-0.0000000000,1,0.8000000000,0.0000000000,0.8956742070,-0.0000000000,-0.0000000000,0.0000000000,0.9510565163
33,0.3826834324,1,0.7990363650,-0.4713967368,0.5962330261,0.3826834324,0.5355724217,-0.3826834324,0.9970349531
34,0.7071067812,1,0.7961477813,-0.8314696123,0.1671516396,0.7071067812,0.9885875287,-0.7071067812,0.8937373149
35,0.9238795325,1,0.7913412080,-0.9951847267,-0.2978588141,0.9238795325,1.2894315052,-0.9238795325,0.6597300915
36,1.0000000000,1,0.7846282243,-0.9238795325,-0.6976976603,1.0000000000,1.3923141122,-1.0000000000,0.3318888278
37,0.9238795325,1,0.7760250026,-0.6343932842,-0.9461289847,0.9238795325,1.2823563408,-0.9238795325,-0.0408685931
38,0.7071067812,1,0.7655522686,-0.1950903220,-0.9904759704,0.7071067812,0.9777703814,-0.7071067812,-0.4051368663
39,0.3826834324,1,0.7532352521,0.2902846773,-0.8226316065,0.3826834324,0.5268087582,-0.3826834324,-0.7106910965
40,0.0000000000,1,0.7391036260,0.7071067812,-0.4800955706,0.0000000000,0.0000000000,-0.0000000000,-0.9171945236
41,-0.3826834324,1,0.7231914345,0.9569403357,-0.0370569356,-0.3826834324,-0.5210601226,0.3826834324,-0.9991134714
42,-0.7071067812,1,0.7055370115,0.9807852804,0.4122293057,-0.7071067812,-0.9565517838,0.7071067812,-0.9483328976
43,-0.9238795325,1,0.6861828880,0.7730104534,0.7738925194,-0.9238795325,-1.2408546954,0.9238795325,-0.7743213036
44,-1.0000000000,1,0.6651756898,0.3826834324,0.9741589825,-1.0000000000,-1.3325878449,1.0000000000,-0.5020268765
45,-0.9238795325,1,0.6425660252,-0.0980171403,0.9741308886,-0.9238795325,-1.2207063320,0.9238795325,-0.1679570314
46,-0.7071067812,1,0.6184083627,-0.5555702330,0.7767138288,-0.7071067812,-0.9257471546,0.7071067812,0.1849248778
47,-0.3826834324,1,0.5927609003,-0.8819212643,0.4246165321,-0.3826834324,-0.4961033203,0.3826834324,0.5127694934
48,-0.0000000000,1,0.5656854249,-1.0000000000,-0.0096966696,-0.0000000000,-0.0000000000,0.0000000000,0.7761750478
49,0.3826834324,1,0.5372471639,-0.8819212643,-0.4395880842,0.3826834324,0.4854812267,-0.3826834324,0.9446758523
50,0.7071067812,1,0.5075146273,-0.5555702330,-0.7818728387,0.7071067812,0.8865402985,-0.7071067812,0.9999303342
51,0.9238795325,1,0.4765594436,-0.0980171403,-0.9728285115,0.9238795325,1.1440212905,-0.9238795325,0.9373406847
52,1.0000000000,1,0.4444561864,0.3826834324,-0.9795293028,1.0000000000,1.2222280932,-1.0000000000,0.7660325873
53,0.9238795325,1,0.4112821954,0.7730104534,-0.8046187576,0.9238795325,1.1138671337,-0.9238795325,0.5073067917
54,0.7071067812,1,0.3771173895,0.9807852804,-0.4840792869,0.7071067812,0.8404379129,-0.7071067812,0.1918271693
55,0.3826834324,1,0.3420440747,0.9569403357,-0.0789492206,0.3826834324,0.4481307326,-0.3826834324,-0.1440792930
56,0.0000000000,1,0.3061467459,0.7071067812,0.3369951210,0.0000000000,0.0000000000,-0.0000000000,-0.4625721274
57,-0.3826834324,1,0.2695118827,0.2902846773,0.6910074507,-0.3826834324,-0.4342522985,0.3826834324,-0.7284435485
58,-0.7071067812,1,0.2322277418,-0.1950903220,0.9239876391,-0.7071067812,-0.7892116867,0.7071067812,-0.9128377175
59,-0.9238795325,1,0.1943841439,-0.6343932842,0.9998124808,-0.9238795325,-1.0136732985,0.9238795325,-0.9961864382
60,-1.0000000000,1,0.1560722576,-0.9238795325,0.9100516589,-1.0000000000,-1.0780361288,1.0000000000,-0.9700990547
61,-0.9238795325,1,0.1173843796,-0.9951847267,0.6736861385,-0.9238795325,-0.9781040454,0.9238795325,-0.8380560195
62,-0.7071067812,1,0.0784137123,-0.8314696123,0.3323443039,-0.7071067812,-0.7348302150,0.7071067812,-0.6148740058
63,-0.3826834324,1,0.0392541395,-0.4713967368,-0.0577326490,-0.3826834324,-0.3901943868,0.3826834324,-0.3250256245
64,-0.0000000000,0,0.0000000000,-0.0000000000,-0.4353831596,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000
65,0.3826834324,0,-0.0392541395,0.2902846773,-0.7441818360,0.1339392013,0.3751724780,0.3826834324,0.3250256245
66,0.7071067812,0,-0.0784137123,0.5555702330,-0.9405717422,0.2474873734,0.6793833473,0.7071067812,0.6148740058
67,0.9238795325,0,-0.1173843796,0.7730104534,-0.9993984119,0.3233578364,0.8696550197,0.9238795325,0.8380560195
68,1.0000000000,0,-0.1560722576,0.9238795325,-0.9162956224,0.3500000000,0.9219638712,1.0000000000,0.9700990547
69,0.9238795325,0,-0.1943841439,0.9951847267,-0.7069069298,0.3233578364,0.8340857665,0.9238795325,0.9961864382
70,0.7071067812,0,-0.2322277418,0.9807852804,-0.4033870319,0.2474873734,0.6250018757,0.7071067812,0.9128377175
71,0.3826834324,0,-0.2695118827,0.8819212643,-0.0489560033,0.1339392013,0.3311145662,0.3826834324,0.7284435485
72,0.0000000000,0,-0.3061467459,0.7071067812,0.3085493701,0.0000000000,0.0000000000,0.0000000000,0.4625721274
73,-0.3826834324,0,-0.3420440747,0.4713967368,0.6231677695,-0.1339392013,-0.3172361321,-0.3826834324,0.1440792930
74,-0.7071067812,0,-0.3771173895,0.1950903220,0.8565063220,-0.2474873734,-0.5737756495,-0.7071067812,-0.1918271693
75,-0.9238795325,0,-0.4112821954,-0.0980171403,0.9820018718,-0.3233578364,-0.7338919313,-0.9238795325,-0.5073067917
